source,target,weight,color,group
DNS Specialist Services,Clear Henderson,1,#9b5de5,Lobbyist
DNS Specialist Services,Daniel Nixon-Smith,1,#9b5de5,Lobbyist
DNS Specialist Services,Gemma Kivell,1,#9b5de5,Lobbyist
DNS Specialist Services,Monique Nixon-Smith,1,#9b5de5,Lobbyist
DPG Advisory Solutions Pty Ltd,Alistair Coe,1,#9b5de5,Lobbyist
DPG Advisory Solutions Pty Ltd,David Gazard,1,#9b5de5,Lobbyist
DPG Advisory Solutions Pty Ltd,Sasha Grebe,1,#9b5de5,Lobbyist
DWS Hospitality Specialists,John Dickson,1,#9b5de5,Lobbyist
DWS Hospitality Specialists,Karen Miles,1,#9b5de5,Lobbyist
DWS Hospitality Specialists,Simone Barber,1,#9b5de5,Lobbyist
Daniel McDougall,Daniel McDougall,1,#9b5de5,Lobbyist
Diplomacy,Adam Kilgour,1,#9b5de5,Lobbyist
Diplomacy,Joshua Williams,1,#9b5de5,Lobbyist
Domestique Consulting Australia,Ben Taylor,1,#9b5de5,Lobbyist
Empower Pty Ltd,Dolan Hayes,1,#9b5de5,Lobbyist
Essential Media Communications,Anthony Douglas,1,#9b5de5,Lobbyist
Essential Media Communications,Peter Stahel,1,#9b5de5,Lobbyist
FIPRA Australia,John Richardson,1,#9b5de5,Lobbyist
FIPRA Australia,Stephen Coutts,1,#9b5de5,Lobbyist
FPL Advisory,Ross Dennis,1,#9b5de5,Lobbyist
FPL Advisory,Stefan Anjou,1,#9b5de5,Lobbyist
FPL Advisory,Steven Cusworth,1,#9b5de5,Lobbyist
FTI Consulting,Georgia Dillon,1,#9b5de5,Lobbyist
FTI Consulting,Sarah Roberts,1,#9b5de5,Lobbyist
FTI Consulting,Shannon Walker,1,#9b5de5,Lobbyist
FTI Consulting,Tara Gasior,1,#9b5de5,Lobbyist
Federation Public Affairs,Katherine Melville,1,#9b5de5,Lobbyist
Federation Public Affairs,MICHAEL GLEESON,1,#9b5de5,Lobbyist
Fifty Acres - The Communications Agency,Ethan Wales,1,#9b5de5,Lobbyist
Fifty Acres - The Communications Agency,Joanne Scard,1,#9b5de5,Lobbyist
Fitzpatrick Advisory,Eamonn Fitzpatrick,1,#9b5de5,Lobbyist
Forrester Consulting,Jeff Popp,1,#9b5de5,Lobbyist
GC Advisory,Adam Howard,1,#9b5de5,Lobbyist
GC Advisory,Alexandra Longinidis,1,#9b5de5,Lobbyist
GC Advisory,Andrew Joyce,1,#9b5de5,Lobbyist
GC Advisory,Anthony Hodges,1,#9b5de5,Lobbyist
GC Advisory,Christopher Pyne,1,#9b5de5,Lobbyist
GC Advisory,Jack De Hennin,1,#9b5de5,Lobbyist
GC Advisory,Kacey Lam,1,#9b5de5,Lobbyist
GC Advisory,Tamika Dartnell-Moore,1,#9b5de5,Lobbyist
GC Advisory,William Redmond,1,#9b5de5,Lobbyist
GR Connect Pty Ltd,Lyndal Maloney,1,#9b5de5,Lobbyist
GR Solutions,Wayne Matthew,1,#9b5de5,Lobbyist
GRA Partners Pty Limited,Jason Marocchi,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Alyssa Patterson,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Andrew Cox,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Ashleigh Worthley,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Elizabeth Walker,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Genevieve Nolan,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Hilary D'Angelo,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Isuru Neelagama,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Kirsten Mulley,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Kirstin Payne,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Lewis Whittaker,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Liam Nilon,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Madeleine Abbott,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Nicolaos Xerakias,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Richard  King ,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Sahil Prasad,1,#9b5de5,Lobbyist
GRACosway Pty Ltd,Sophie Allen,1,#9b5de5,Lobbyist
Gaming Machine Services,Kyle Birks,1,#9b5de5,Lobbyist
Gaming Machine Services,Laurence J Birks,1,#9b5de5,Lobbyist
Government and Corporate Advisory Network,Maree Davenport,1,#9b5de5,Lobbyist
Govstrat Pty Ltd,Christopher Forrester,1,#9b5de5,Lobbyist
