source,target,Weight,source type,target type,source color,target color
CRISIS&COMMS CO,PAOLO BINI,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
CT Group,Remo Nogarotto,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
CT Research Strategies Results,Avanti Oberoi,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Candra Business Advisers,David Meale,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Cannings Purple,Michael Cairnduff,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Chatto Creek Advisory,Russell Scoular,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Chikarovski & Associates Pty Ltd,Angela Vithoulkas,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Chikarovski & Associates Pty Ltd,Kerry Chikarovski,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Chris Schacht,Chris Schacht,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Christmas Jalili,Damon Jalili,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Commercial Licensing Specialists,Jennifer Anne Wood,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Commercial Licensing Specialists,Melynda Robinson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Commercial Licensing Specialists,Zoe Greenwood,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Cornerstone Group,Daniel Hoare,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Cornerstone Group,Joseph Tannous,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Cornerstone Group,Keren Davies,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Cornerstone Group,Kirsten Daggar-Nickson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Cornerstone Group,Nicholas Melas,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Counsel House Pty Ltd,Andrew Porter,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Counsel House Pty Ltd,Claire March,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
DNS Specialist Services,Bernard Osmond,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
DNS Specialist Services,Brandon Nixon-Smith,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
DNS Specialist Services,Candice Komsellis,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
DNS Specialist Services,Clear Henderson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
DNS Specialist Services,Daniel Nixon-Smith,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
DNS Specialist Services,Gemma Kivell,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
DNS Specialist Services,Monique Nixon-Smith,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
DPG Advisory Solutions Pty Ltd,Alistair Coe,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
DPG Advisory Solutions Pty Ltd,David Gazard,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
DPG Advisory Solutions Pty Ltd,Sasha Grebe,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
DWS Hospitality Specialists,John Dickson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
DWS Hospitality Specialists,Karen Miles,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
DWS Hospitality Specialists,Simone Barber,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Daniel McDougall,Daniel McDougall,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Diplomacy,Adam Kilgour,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Diplomacy,Joshua Williams,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Domestique Consulting Australia,Ben Taylor,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Empower Pty Ltd,Dolan Hayes,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Essential Media Communications,Anthony Douglas,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Essential Media Communications,Peter Stahel,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
FIPRA Australia,John Richardson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
FIPRA Australia,Stephen Coutts,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
FPL Advisory,Ross Dennis,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
FPL Advisory,Stefan Anjou,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
FPL Advisory,Steven Cusworth,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
FTI Consulting,Georgia Dillon,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
FTI Consulting,Sarah Roberts,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
FTI Consulting,Shannon Walker,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
FTI Consulting,Tara Gasior,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Federation Public Affairs,Katherine Melville,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Federation Public Affairs,MICHAEL GLEESON,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Fifty Acres - The Communications Agency,Ethan Wales,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Fifty Acres - The Communications Agency,Joanne Scard,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Forrester Consulting,Jeff Popp,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GR Connect Pty Ltd,Lyndal Maloney,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GR Solutions,Wayne Matthew,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRA Partners Pty Limited,Jason Marocchi,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Alyssa Patterson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Andrew Cox,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Ashleigh Worthley,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Elizabeth Walker,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Genevieve Nolan,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Hilary D'Angelo,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Kirsten Mulley,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Kirstin Payne,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Lewis Whittaker,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Madeleine Abbott,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Nicolaos Xerakias,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Richard  King ,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Sahil Prasad,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
GRACosway Pty Ltd,Sophie Allen,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Gaming Machine Services,Kyle Birks,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Gaming Machine Services,Laurence J Birks,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Government and Corporate Advisory Network,Maree Davenport,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Govstrat Pty Ltd,Christopher Forrester,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Govstrat Pty Ltd,Damian Power,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
