Client Name,Lobbyist,ABN
RETURNED & SERVICES LEAGUE OF AUSTRALIA (QUEENSLAND BRANCH) KEDRON-WAVELL SUB BRANCH INCORPORATED,Strategic Political Counsel,24613884763
Saorsa Health,Social Impact (Qld),13 112 982 323
Retail Guild,Govstrat Pty Ltd,64 964 952 044
Rino Recycling,Social Impact (Qld),13 112 982 323
Rise-bakery Pty Ltd,Precise Hospitality Licensing,46220117164
SAAB,TG Public Affairs,23630677673
S.E.L.F. Noosa Pty Ltd as Trustee for the NFM Unit Trust trading as Noosa Farmers Market,Strategic Pathways Consulting,ABN 56242935104
Responsible Energy,Jutsum Advisory Pty Ltd,68 973 583 422
ResourceCo,LK Creative Pty Ltd,ACN 140  857 432
RES Australia,Spring Street Advisory,92 603 411 650
RemServ,Next Level Strategic Services,27 613 857 668
REMONDIS Australia,Next Level Strategic Services,27 613 857 668
Regis Aged Care Pty Ltd,TG Public Affairs,23630677673
Regional Development Australia Central and Western Queensland Inc,SAS Group,33 136 520 548
RSM Australia Pty Ltd,BBS Communications Group Pty Ltd,34 010 899 779
ResMed Pty Ltd,Nexus APAC Pty Ltd,76 615 655 699
Redman Solutions Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Redkite,Nexus APAC Pty Ltd,76 615 655 699
Returned & Services League of Australia (Queensland Branch),Cannings Purple,37 108 802 366
Red Nose Limited,GRACosway Pty Ltd,50 082 123 822
"Recruitment, Consulting & Staffing Association",DPG Advisory Solutions Pty Ltd,14 634 403 115
Responsible Wagering Australia Holdings Ltd,GRACosway Pty Ltd,50 082 123 822
REFINITIV,CRISIS&COMMS CO,56 637 786 899
Ramsay Health Care,Next Level Strategic Services,27 613 857 668
Rainbow Bay Surf Life Savers Supporters Association Inc,DWS Hospitality Specialists,50 113 985 247
Radiation Therapy Advisory Group,The Civic Group,57 157 925 365
Racing Australia,DPG Advisory Solutions Pty Ltd,14 634 403 115
Resort Brokers Asia Pacific,Spring Street Advisory,92 603 411 650
QUINBROOK INFRASTRUCTURE PARTNERS PTY LTD,Govstrat Pty Ltd,64 964 952 044
Rare Voices Australia,Ogilvy PR Agency Pty Limited,89 096 965 794
RESPONSE GROUP INTERNATIONAL PTY LTD,Taylor Connect,39 632 234 916
Queensland Motorways Pty Ltd ,Anacta Strategies Pty Ltd,64 633 978 677
Queensland Maritime Museum Association,Santoro Consulting,21 131 482 230
Queensland Cricketers Club,Social Impact (Qld),13 112 982 323
Refrigerated Warehouse & Transport Association of Australia,Kurrajong Strategic Counsel,14 625 954 912
Qube Logistics,Taylor Connect,39 632 234 916
QTECTIC,Govstrat Pty Ltd,64 964 952 044
Remondis,CT Group,72600464855
Redbank Nominees Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Qld Taxi Licence Owners,Mission Consulting Solutions,32660516974
"Qld Hotel & Liquor Group Pty Ltd atf The Windsor Hotel & Motel, Dalby Unit Trust",Commercial Licensing Specialists,33 134 318 595
Q-bital Healthcare Solutions Pty Ltd,The Civic Group,57 157 925 365
RateSetter Australia RE Limited,GRACosway Pty Ltd,50 082 123 822
QBE Management Services Pty Ltd,Counsel House Pty Ltd,35 631 919 009
QBE Insurance Australia Ltd,Hawker Britton,79 109 681 405
Quickcell Technology Products,PolicyWonks,50 463 070 316
